Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
28/07/2023,9125,9200,9225,9125,74.51M,-1.08%
27/07/2023,9225,9400,9400,9225,77.85M,-1.34%
26/07/2023,9350,9175,9350,9125,113.87M,2.19%
25/07/2023,9150,9175,9300,9150,122.80M,0.55%
24/07/2023,9100,9200,9200,9100,62.06M,-0.55%
21/07/2023,9150,9150,9175,9125,42.67M,0.00%
20/07/2023,9150,9200,9225,9125,83.48M,0.00%
18/07/2023,9150,9200,9250,9100,66.97M,-0.27%
17/07/2023,9175,9200,9250,9175,62.55M,-0.27%
14/07/2023,9200,9175,9200,9125,55.55M,0.82%
13/07/2023,9125,9200,9225,9125,65.23M,-0.54%
12/07/2023,9175,9075,9175,9050,61.57M,1.66%
11/07/2023,9025,9100,9100,9025,43.70M,-0.28%
10/07/2023,9050,9100,9100,9050,28.98M,0.28%
07/07/2023,9025,9025,9100,9025,37.64M,-0.55%
06/07/2023,9075,9050,9100,9025,52.53M,0.28%
05/07/2023,9050,9050,9075,9025,44.61M,0.00%
04/07/2023,9050,9150,9150,9050,35.05M,-0.28%
03/07/2023,9075,9025,9075,9025,108.88M,-0.82%
27/06/2023,9150,9050,9150,9050,36.23M,0.83%
26/06/2023,9075,9025,9125,9025,36.39M,0.28%
23/06/2023,9050,9025,9150,9025,47.81M,0.00%
22/06/2023,9050,9125,9150,9050,48.29M,-0.82%
21/06/2023,9125,9050,9125,9000,43.38M,0.83%
20/06/2023,9050,9025,9050,8950,54.99M,0.56%
19/06/2023,9000,9000,9050,9000,32.33M,-0.55%
16/06/2023,9050,9100,9100,8975,112.77M,0.00%
15/06/2023,9050,9100,9100,9050,59.07M,-0.28%
14/06/2023,9075,9100,9125,9050,72.22M,-0.82%
13/06/2023,9150,9175,9175,9100,45.55M,0.00%
12/06/2023,9150,9150,9150,9100,38.08M,0.55%
09/06/2023,9100,9175,9175,9100,44.65M,-0.27%
08/06/2023,9125,9075,9125,9075,53.19M,0.27%
07/06/2023,9100,9125,9175,9075,66.81M,-0.55%
06/06/2023,9150,9050,9200,9050,74.87M,-0.54%
05/06/2023,9200,9150,9325,9100,163.54M,1.66%
